"generations","abundance"
1,500
2,642.5
3,822.8658125
4,1049.41231188856
5,1331.19801944483
6,1677.39478026906
7,2096.20361688357
8,2593.24261384556
9,3169.4681803713
10,3818.9427780911
11,4527.09589324841
12,5270.38674442293
13,6018.19347467614
14,6737.09193611995
15,7396.56728428396
16,7974.26124184096
17,8458.87434379944
18,8849.95999201362
19,9155.29423381045
20,9387.3001287243
21,9559.84805613917
22,9686.08162728689
23,9777.30079675901
24,9842.62270967759
25,9889.09286842903
26,9921.99599614532
27,9945.21465856321
28,9961.56021798515
29,9973.04782408437
30,9981.11168426546
